x,y,value
-3.000000,-3.000000,36.021622
-2.923729,-3.000000,41.405781
-2.847458,-3.000000,46.792744
-2.771186,-3.000000,52.614555
-2.694915,-3.000000,54.499924
-2.618644,-3.000000,54.847748
-2.542373,-3.000000,55.079235
-2.466102,-3.000000,55.310074
-2.389831,-3.000000,55.416687
-2.313559,-3.000000,55.355053
-2.237288,-3.000000,55.306377
-2.161017,-3.000000,55.273052
-2.084746,-3.000000,55.254860
-2.008475,-3.000000,55.182144
-1.932203,-3.000000,55.084850
-1.855932,-3.000000,55.061016
-1.779661,-3.000000,55.053265
-1.703390,-3.000000,54.834316
-1.627119,-3.000000,54.561550
-1.550848,-3.000000,54.296055
-1.474576,-3.000000,54.152637
-1.398305,-3.000000,54.009823
-1.322034,-3.000000,53.802624
-1.245763,-3.000000,51.826931
-1.169492,-3.000000,50.010880
-1.093220,-3.000000,45.640446
-1.016949,-3.000000,38.667675
-0.940678,-3.000000,30.318995
-0.864407,-3.000000,22.803101
-0.788136,-3.000000,15.865038
-0.711864,-3.000000,7.493935
-0.635593,-3.000000,0.073036
-0.559322,-3.000000,-7.342987
-0.483051,-3.000000,-14.601711
-0.406780,-3.000000,-21.860405
-0.330508,-3.000000,-27.068413
-0.254237,-3.000000,-31.433689
-0.177966,-3.000000,-35.493465
-0.101695,-3.000000,-39.230076
-0.025424,-3.000000,-42.966694
0.050847,-3.000000,-46.703304
0.127119,-3.000000,-50.432827
0.203390,-3.000000,-53.694988
0.279661,-3.000000,-57.731869
0.355932,-3.000000,-61.828823
0.432203,-3.000000,-65.932335
0.508474,-3.000000,-70.026932
0.584746,-3.000000,-74.582375
0.661017,-3.000000,-79.211632
0.737288,-3.000000,-83.840836
0.813559,-3.000000,-88.470070
0.889830,-3.000000,-93.099319
0.966102,-3.000000,-97.751083
1.042373,-3.000000,-102.488998
1.118644,-3.000000,-107.226974
1.194915,-3.000000,-111.926239
1.271186,-3.000000,-116.486603
1.347457,-3.000000,-120.960953
1.423728,-3.000000,-125.435280
1.500000,-3.000000,-129.891815
-3.000000,-2.923729,33.733582
-2.923729,-2.923729,39.120045
-2.847458,-2.923729,44.567184
-2.771186,-2.923729,50.545620
-2.694915,-2.923729,54.310383
-2.618644,-2.923729,54.665936
-2.542373,-2.923729,54.962780
-2.466102,-2.923729,55.193607
-2.389831,-2.923729,55.365723
-2.313559,-2.923729,55.445614
-2.237288,-2.923729,55.411739
-2.161017,-2.923729,55.372189
-2.084746,-2.923729,55.314892
-2.008475,-2.923729,55.242168
-1.932203,-2.923729,55.169453
-1.855932,-2.923729,55.138218
-1.779661,-2.923729,55.134464
-1.703390,-2.923729,55.005245
-1.627119,-2.923729,54.739002
-1.550848,-2.923729,54.457096
-1.474576,-2.923729,54.230011
-1.398305,-2.923729,54.085773
-1.322034,-2.923729,53.915382
-1.245763,-2.923729,52.621941
-1.169492,-2.923729,50.812172
-1.093220,-2.923729,47.180332
-1.016949,-2.923729,40.207550
-0.940678,-2.923729,32.380959
-0.864407,-2.923729,25.409454
-0.788136,-2.923729,18.482122
-0.711864,-2.923729,9.212280
-0.635593,-2.923729,1.578434
-0.559322,-2.923729,-5.889221
-0.483051,-2.923729,-13.147938
-0.406780,-2.923729,-20.230587
-0.330508,-2.923729,-25.041729
-0.254237,-2.923729,-29.471397
-0.177966,-2.923729,-33.489517
-0.101695,-2.923729,-37.225658
-0.025424,-2.923729,-40.961788
0.050847,-2.923729,-44.697968
0.127119,-2.923729,-48.434109
0.203390,-2.923729,-52.671341
0.279661,-2.923729,-56.750282
0.355932,-2.923729,-60.830593
0.432203,-2.923729,-64.921349
0.508474,-2.923729,-69.517273
0.584746,-2.923729,-74.205040
0.661017,-2.923729,-78.882629
0.737288,-2.923729,-83.511826
0.813559,-2.923729,-88.141090
0.889830,-2.923729,-92.770325
0.966102,-2.923729,-97.481148
1.042373,-2.923729,-102.219124
1.118644,-2.923729,-106.957069
1.194915,-2.923729,-111.523010
1.271186,-2.923729,-116.166458
1.347457,-2.923729,-120.640778
1.423728,-2.923729,-125.115082
1.500000,-2.923729,-129.530334
-3.000000,-2.847458,31.436077
-2.923729,-2.847458,36.903469
-2.847458,-2.847458,42.671093
-2.771186,-2.847458,48.481358
-2.694915,-2.847458,53.912601
-2.618644,-2.847458,54.491577
-2.542373,-2.847458,54.846313
-2.466102,-2.847458,55.077152
-2.389831,-2.847458,55.301208
-2.313559,-2.847458,55.414242
-2.237288,-2.847458,55.481144
-2.161017,-2.847458,55.443531
-2.084746,-2.847458,55.412342
-2.008475,-2.847458,55.297184
-1.932203,-2.847458,55.219555
-1.855932,-2.847458,55.197880
-1.779661,-2.847458,55.191242
-1.703390,-2.847458,55.159573
-1.627119,-2.847458,54.906868
-1.550848,-2.847458,54.624683
-1.474576,-2.847458,54.368603
-1.398305,-2.847458,54.158447
-1.322034,-2.847458,53.999134
-1.245763,-2.847458,53.656322
-1.169492,-2.847458,51.593998
-1.093220,-2.847458,48.723892
-1.016949,-2.847458,41.766594
-0.940678,-2.847458,34.149639
-0.864407,-2.847458,28.028137
-0.788136,-2.847458,21.009745
-0.711864,-2.847458,11.545162
-0.635593,-2.847458,3.248806
-0.559322,-2.847458,-4.435459
-0.483051,-2.847458,-11.694199
-0.406780,-2.847458,-18.074741
-0.330508,-2.847458,-22.885246
-0.254237,-2.847458,-27.343708
-0.177966,-2.847458,-31.447014
-0.101695,-2.847458,-35.226727
-0.025424,-2.847458,-38.962872
0.050847,-2.847458,-42.698982
0.127119,-2.847458,-46.891861
0.203390,-2.847458,-51.503307
0.279661,-2.847458,-55.783291
0.355932,-2.847458,-59.849010
0.432203,-2.847458,-64.429733
0.508474,-2.847458,-69.072060
0.584746,-2.847458,-73.759811
0.661017,-2.847458,-78.447540
0.737288,-2.847458,-83.135254
0.813559,-2.847458,-87.812088
0.889830,-2.847458,-92.473282
0.966102,-2.847458,-97.211243
1.042373,-2.847458,-101.949234
1.118644,-2.847458,-106.679512
1.194915,-2.847458,-111.137299
1.271186,-2.847458,-115.781693
1.347457,-2.847458,-120.320618
1.423728,-2.847458,-124.794937
1.500000,-2.847458,-129.128540
-3.000000,-2.771186,29.224609
-2.923729,-2.771186,35.031231
-2.847458,-2.771186,40.746292
-2.771186,-2.771186,46.228714
-2.694915,-2.771186,52.481884
-2.618644,-2.771186,54.317211
-2.542373,-2.771186,54.652782
-2.466102,-2.771186,54.916782
-2.389831,-2.771186,55.143642
-2.313559,-2.771186,55.324806
-2.237288,-2.771186,55.447411
-2.161017,-2.771186,55.491199
-2.084746,-2.771186,55.475506
-2.008475,-2.771186,55.398430
-1.932203,-2.771186,55.267868
