time,Fz,Mx,My,Mz
0.000000000000000000e+00,1.282846260070800781e+01,1.051301136612892151e-01,-5.625264719128608704e-03,-2.857005782425403595e-02
1.000000000000000021e-02,1.783318710327148438e+01,9.924551844596862793e-02,-8.025903254747390747e-03,-4.122320190072059631e-02
2.000000000000000042e-02,2.357216072082519531e+01,8.920673280954360962e-02,-1.077864691615104675e-02,-4.916780441999435425e-02
2.999999999999999889e-02,2.832703781127929688e+01,7.605622708797454834e-02,-1.285715214908123016e-02,-4.828036576509475708e-02
4.000000000000000083e-02,3.087714767456054688e+01,6.464470922946929932e-02,-1.341392751783132553e-02,-4.227425903081893921e-02
5.000000000000000278e-02,3.095723915100097656e+01,5.266254022717475891e-02,-1.261972077190876007e-02,-3.518864512443542480e-02
5.999999999999999778e-02,2.874093818664550781e+01,4.368012025952339172e-02,-8.470397442579269409e-03,-2.548593096435070038e-02
7.000000000000000666e-02,2.418989753723144531e+01,2.977168001234531403e-02,-4.267608281224966049e-03,-1.265979465097188950e-02
8.000000000000000167e-02,1.910377120971679688e+01,1.803745888173580170e-02,2.649394562467932701e-03,4.022128880023956299e-03
8.999999999999999667e-02,1.454393863677978516e+01,9.789761388674378395e-04,8.236480876803398132e-03,2.008049935102462769e-02
1.000000000000000056e-01,1.131233787536621094e+01,-1.086247246712446213e-02,1.525535527616739273e-02,3.224802389740943909e-02
1.100000000000000006e-01,9.146471977233886719e+00,-2.741901203989982605e-02,1.897889375686645508e-02,3.811766579747200012e-02
1.199999999999999956e-01,7.986771106719970703e+00,-3.354950994253158569e-02,2.342349104583263397e-02,3.891886025667190552e-02
1.300000000000000044e-01,7.277419567108154297e+00,-4.452900961041450500e-02,2.330871485173702240e-02,3.453581407666206360e-02
1.400000000000000133e-01,7.059264659881591797e+00,-4.350715130567550659e-02,2.527968399226665497e-02,2.754675596952438354e-02
1.499999999999999944e-01,6.953930854797363281e+00,-4.967695847153663635e-02,2.307538501918315887e-02,1.843440718948841095e-02
1.600000000000000033e-01,7.177021980285644531e+00,-4.233253002166748047e-02,2.333092689514160156e-02,9.917599149048328400e-03
1.700000000000000122e-01,7.405621051788330078e+00,-4.491779208183288574e-02,1.876324415206909180e-02,1.071312697604298592e-03
1.799999999999999933e-01,7.946504592895507812e+00,-3.207717463374137878e-02,1.774603873491287231e-02,-5.322965327650308609e-03
1.900000000000000022e-01,8.394705772399902344e+00,-3.334255889058113098e-02,1.194347068667411804e-02,-1.078947819769382477e-02
2.000000000000000111e-01,9.209993362426757812e+00,-1.664182543754577637e-02,1.100631058216094971e-02,-1.501962076872587204e-02
2.099999999999999922e-01,9.727714538574218750e+00,-1.718410477042198181e-02,5.023926962167024612e-03,-1.754265278577804565e-02
2.200000000000000011e-01,1.058559417724609375e+01,1.949084340594708920e-03,5.322112701833248138e-03,-1.872783526778221130e-02
2.300000000000000100e-01,1.099086093902587891e+01,-5.347137339413166046e-04,-3.306232101749628782e-04,-1.826891861855983734e-02
2.399999999999999911e-01,1.178102684020996094e+01,1.615330576896667480e-02,1.042108866386115551e-03,-1.705552823841571808e-02
2.500000000000000000e-01,1.194554424285888672e+01,1.090397033840417862e-02,-4.486825317144393921e-03,-1.376247406005859375e-02
2.600000000000000089e-01,1.259938526153564453e+01,2.799577824771404266e-02,-1.455228193663060665e-03,-1.134955231100320816e-02
2.700000000000000178e-01,1.247716808319091797e+01,2.003254182636737823e-02,-6.462449673563241959e-03,-6.505436729639768600e-03
2.800000000000000266e-01,1.290751647949218750e+01,3.630344942212104797e-02,-2.185093937441706657e-03,-3.336002118885517120e-03
2.899999999999999800e-01,1.249836444854736328e+01,2.505882270634174347e-02,-7.014187052845954895e-03,2.024053828790783882e-03
