step,vx_cmd,vy_cmd,vz_cmd,wz_cmd,kv_x,kv_y,kv_z,kR_x,kR_y,kR_z
0,8.063274621963501,10.0,3.0,-3.0,4.652960896492004,2.831820487976074,0.5,16.0,15.626775979995728,1.5934237837791443
1,8.384593725204468,10.0,3.0,-3.0,4.565491139888763,3.00043673813343,0.5545224919915197,16.0,15.984044432640076,1.6296748042106628
2,8.849709033966064,10.0,3.0,-3.0,3.8374909162521362,3.1904799938201904,0.952205128967762,16.0,16.0,1.7116012692451477
3,8.77005100250244,10.0,3.0,-3.0,2.640695571899414,3.335674911737442,1.6299908533692358,16.0,16.0,1.9468503117561338
4,7.305281162261963,10.0,3.0,-3.0,1.7599467560648914,3.570918917655945,1.8919900357723234,16.0,16.0,2.0
5,5.250768661499023,10.0,3.0,-3.0,0.951802365481853,3.6618367433547974,1.9595650508999825,16.0,16.0,2.0
6,4.4226789474487305,10.0,3.0,-3.0,0.5,4.006354510784149,2.566775932908058,16.0,14.97230803966522,2.0
7,4.170694351196289,10.0,3.0,-3.0,0.5,4.685911625623703,2.8837837576866145,16.0,15.15026366710663,2.0
8,4.464811086654663,10.0,2.9102715253829947,-3.0,0.5,4.582566916942596,2.293585456907749,15.98075246810913,16.0,1.9163575649261475
9,5.0774407386779785,10.0,2.1879866123199463,-3.0,0.5,4.376841962337494,1.8789025321602815,15.863647222518923,16.0,1.6366225838661195
10,6.04894757270813,10.0,1.8531900644302368,-3.0,0.5,4.693428993225098,1.7587091699242587,16.0,16.0,1.4488672018051147
11,6.9187116622924805,10.0,1.6415984630584717,-3.0,0.5,5.033624708652496,1.5708941891789434,16.0,16.0,1.3229034781455993
12,8.018410205841064,10.0,1.3472617864608765,-3.0,0.5,5.147287726402283,1.3356528356671333,16.0,16.0,1.2866135120391846
13,10.0,10.0,0.9970446825027466,-3.0,0.5,5.028150022029877,1.0686045065522187,15.39075231552124,16.0,1.143657672405243
14,10.0,10.0,0.7724218368530273,-3.0,0.5,4.873758614063263,0.990794964134693,13.756573557853699,16.0,1.0283403337001802
15,10.0,10.0,0.5609500408172607,-3.0,0.5,4.6578428745269775,0.9332508519291876,12.077659130096436,16.0,0.957949835062027
16,10.0,10.0,0.42296040058135986,-3.0,0.5,4.3068797290325165,0.8109912946820255,10.657824635505676,16.0,0.9971681296825408
17,10.0,10.0,0.34381842613220215,-3.0,0.5,4.0363394021987915,0.8159922733902927,9.716810941696167,16.0,1.0157033741474153
18,10.0,10.0,0.18126153945922852,-3.0,0.5,3.589320421218872,0.948099561035633,9.051726818084717,16.0,1.0528231620788573
19,10.0,9.835788011550903,0.04371178150177002,-3.0,0.5,3.1568078845739365,1.2707608118653295,8.392026335000992,16.0,1.1550350666046143
20,10.0,9.565924406051636,-0.21900862455368042,-3.0,0.5,2.964052200317383,1.3506526425480838,8.41560474038124,15.034866988658905,1.3117182374000549
21,10.0,9.079879522323608,-0.4692281484603882,-3.0,0.5,2.873798221349716,1.4914194419980047,8.146024405956268,13.069617807865143,1.4693733334541321
22,10.0,8.664506673812864,-0.6892848014831543,-3.0,0.5,2.7851720601320262,1.442323841154575,7.970962882041931,11.297223031520844,1.5993192791938782
23,10.0,8.188139200210571,-0.8919811248779297,-3.0,0.5,2.6603028178215027,1.3006094396114345,8.942475080490112,10.446749985218048,1.7153932690620421
24,10.0,7.6290977001190186,-1.0054053068161015,-3.0,0.5,2.453803539276123,1.386437613517046,10.160032570362091,9.888727128505707,1.8344103932380678
25,10.0,7.141460180282593,-0.907361626625061,-3.0,0.5,2.372403308749199,1.4451777115464208,11.796754956245422,9.230698108673096,1.91447594165802
26,10.0,6.964981555938721,-0.7790515422821045,-2.9366150200366974,1.317584209144115,2.504614531993866,1.694021664559841,13.15645968914032,9.2002854347229,1.8927735447883607
27,7.159034013748169,7.559010982513428,-0.9587380886077884,-2.2429999709129333,2.5033681392669673,2.928368881344795,1.2713895663619041,14.471782803535461,9.821311593055725,1.7368766903877257
28,5.220655202865601,8.417707681655884,-0.9554736614227295,-2.4541401565074925,2.779641807079315,2.8034299761056896,0.8827020525932308,15.553898572921753,10.898251593112946,1.6164470076560975
29,3.477199077606201,8.995219469070433,-0.8286414742469791,-2.776344940066338,2.9716289043426514,2.2886812537908554,0.9695064947009082,16.0,10.951103627681732,1.5152482271194458
30,4.121947288513184,8.921431303024292,-0.5891203880310059,-2.7674741148948674,3.3744907677173615,1.7120156288146973,0.8518538549542423,16.0,11.019896030426025,1.3195349454879761
