time,vx,vy,vz,psi_dot
0.000000000000000000e+00,2.097949981689453125e+00,-7.080819606781005859e+00,2.286782264709472656e+00,4.848432540893554688e-02
1.000000000000000021e-02,1.791243553161621094e+00,-7.645264625549316406e+00,8.423950195312500000e+00,-1.463818550109863281e-01
2.000000000000000042e-02,1.528670787811279297e+00,-7.849985122680664062e+00,1.198166084289550781e+01,-2.620451450347900391e-01
2.999999999999999889e-02,1.224238872528076172e+00,-8.203273773193359375e+00,1.373098373413085938e+01,-3.212344646453857422e-01
4.000000000000000083e-02,9.407091140747070312e-01,-8.420682907104492188e+00,1.463839340209960938e+01,-3.542850017547607422e-01
5.000000000000000278e-02,7.913494110107421875e-01,-8.417163848876953125e+00,1.505929183959960938e+01,-3.697347640991210938e-01
5.999999999999999778e-02,7.885742187500000000e-01,-8.372638702392578125e+00,1.516535758972167969e+01,-3.702869415283203125e-01
7.000000000000000666e-02,8.528971672058105469e-01,-8.111150741577148438e+00,1.498468399047851562e+01,-3.549926280975341797e-01
8.000000000000000167e-02,1.035442352294921875e+00,-7.801366806030273438e+00,1.452976989746093750e+01,-3.297233581542968750e-01
8.999999999999999667e-02,1.243047714233398438e+00,-7.235006332397460938e+00,1.377507209777832031e+01,-2.869701385498046875e-01
1.000000000000000056e-01,1.573169231414794922e+00,-6.744023323059082031e+00,1.268832969665527344e+01,-2.343873977661132812e-01
1.100000000000000006e-01,1.824400424957275391e+00,-5.980895996093750000e+00,1.106239318847656250e+01,-1.553778648376464844e-01
1.199999999999999956e-01,2.159202098846435547e+00,-5.354581832885742188e+00,8.823497772216796875e+00,-6.128835678100585938e-02
1.300000000000000044e-01,2.230329513549804688e+00,-4.311640262603759766e+00,5.940308570861816406e+00,3.407335281372070312e-02
1.400000000000000133e-01,2.457718849182128906e+00,-3.655456304550170898e+00,2.979235649108886719e+00,9.532165527343750000e-02
1.499999999999999944e-01,2.471208572387695312e+00,-2.628756761550903320e+00,-1.845121383666992188e-02,1.786513328552246094e-01
1.600000000000000033e-01,2.616212368011474609e+00,-2.433452606201171875e+00,-2.294692993164062500e+00,2.371740341186523438e-01
1.700000000000000122e-01,2.393608093261718750e+00,-1.750978231430053711e+00,-4.112391471862792969e+00,2.856626510620117188e-01
1.799999999999999933e-01,2.397181987762451172e+00,-2.033460140228271484e+00,-4.856834411621093750e+00,2.936348915100097656e-01
1.900000000000000022e-01,2.059297561645507812e+00,-1.677953004837036133e+00,-5.393566131591796875e+00,2.969808578491210938e-01
2.000000000000000111e-01,2.122871875762939453e+00,-2.254668474197387695e+00,-5.149557590484619141e+00,2.591900825500488281e-01
2.099999999999999922e-01,1.829795837402343750e+00,-1.966998577117919922e+00,-4.974117279052734375e+00,2.302837371826171875e-01
2.200000000000000011e-01,1.943452358245849609e+00,-2.760899066925048828e+00,-4.160996437072753906e+00,1.727089881896972656e-01
2.300000000000000100e-01,1.618087291717529297e+00,-2.500723600387573242e+00,-3.803646564483642578e+00,1.332716941833496094e-01
2.399999999999999911e-01,1.786260604858398438e+00,-3.448657989501953125e+00,-2.721767425537109375e+00,7.435274124145507812e-02
2.500000000000000000e-01,1.490294933319091797e+00,-3.164055347442626953e+00,-2.241431474685668945e+00,3.274774551391601562e-02
2.600000000000000089e-01,1.711282730102539062e+00,-4.174919128417968750e+00,-1.112331151962280273e+00,-1.971578598022460938e-02
2.700000000000000178e-01,1.390235424041748047e+00,-3.775011301040649414e+00,-8.144962787628173828e-01,-4.713129997253417969e-02
2.800000000000000266e-01,1.659166812896728516e+00,-4.802318572998046875e+00,1.266670227050781250e-01,-8.443379402160644531e-02
2.899999999999999800e-01,1.347720623016357422e+00,-4.273889064788818359e+00,1.603007316589355469e-01,-9.487581253051757812e-02
2.999999999999999889e-01,1.679031848907470703e+00,-5.283003807067871094e+00,8.578610420227050781e-01,-1.100649833679199219e-01
3.099999999999999978e-01,1.393358707427978516e+00,-4.664733409881591797e+00,6.325149536132812500e-01,-1.059908866882324219e-01
3.200000000000000067e-01,1.743340492248535156e+00,-5.698897838592529297e+00,1.104307174682617188e+00,-1.071991920471191406e-01
3.300000000000000155e-01,1.530079841613769531e+00,-4.966081619262695312e+00,6.648397445678710938e-01,-9.097099304199218750e-02
3.400000000000000244e-01,1.925182342529296875e+00,-6.034349441528320312e+00,1.039390563964843750e+00,-8.549046516418457031e-02
3.500000000000000333e-01,1.732683181762695312e+00,-5.253983497619628906e+00,4.604840278625488281e-01,-6.690382957458496094e-02
3.599999999999999867e-01,2.152409553527832031e+00,-6.351724624633789062e+00,8.095026016235351562e-01,-6.614208221435546875e-02
3.699999999999999956e-01,1.945466995239257812e+00,-5.520053863525390625e+00,7.167577743530273438e-02,-5.340790748596191406e-02
3.800000000000000044e-01,2.452585697174072266e+00,-6.709560394287109375e+00,6.125473976135253906e-01,-5.433726310729980469e-02
3.900000000000000133e-01,2.217657566070556641e+00,-5.855920314788818359e+00,-1.715672016143798828e-01,-4.502344131469726562e-02
4.000000000000000222e-01,2.734394073486328125e+00,-7.068043708801269531e+00,4.311752319335937500e-01,-5.140948295593261719e-02
4.100000000000000311e-01,2.467277050018310547e+00,-6.227884292602539062e+00,-3.318858146667480469e-01,-4.473638534545898438e-02
4.199999999999999845e-01,2.988905906677246094e+00,-7.413420677185058594e+00,3.064870834350585938e-01,-5.733656883239746094e-02
4.299999999999999933e-01,2.701778411865234375e+00,-6.564694404602050781e+00,-4.824900627136230469e-01,-5.267620086669921875e-02
4.400000000000000022e-01,3.232989311218261719e+00,-7.759773731231689453e+00,2.028369903564453125e-01,-6.696820259094238281e-02
