time,kv,kR,kOmega
0.000000000000000000e+00,5.359033346176147461e-01,1.641856729984283447e-01,4.914038628339767456e-02
1.000000000000000021e-02,5.517897605895996094e-01,1.650426685810089111e-01,4.862287640571594238e-02
2.000000000000000042e-02,5.664877891540527344e-01,1.662691831588745117e-01,4.848281666636466980e-02
2.999999999999999889e-02,5.774618983268737793e-01,1.680300980806350708e-01,4.841239005327224731e-02
4.000000000000000083e-02,5.851325392723083496e-01,1.695467680692672729e-01,4.840353131294250488e-02
5.000000000000000278e-02,5.892432332038879395e-01,1.704785972833633423e-01,4.841063544154167175e-02
5.999999999999999778e-02,5.908330082893371582e-01,1.708715856075286865e-01,4.841271787881851196e-02
7.000000000000000666e-02,5.900123119354248047e-01,1.707166880369186401e-01,4.839390516281127930e-02
8.000000000000000167e-02,5.874503850936889648e-01,1.701835989952087402e-01,4.838733375072479248e-02
8.999999999999999667e-02,5.828197598457336426e-01,1.692591458559036255e-01,4.837246611714363098e-02
1.000000000000000056e-01,5.770211219787597656e-01,1.683101207017898560e-01,4.838333651423454285e-02
1.100000000000000006e-01,5.696411728858947754e-01,1.672551929950714111e-01,4.835742339491844177e-02
1.199999999999999956e-01,5.615093708038330078e-01,1.667360812425613403e-01,4.840582609176635742e-02
1.300000000000000044e-01,5.531026721000671387e-01,1.661289483308792114e-01,4.853725433349609375e-02
1.400000000000000133e-01,5.458428859710693359e-01,1.657795906066894531e-01,4.889832064509391785e-02
1.499999999999999944e-01,5.396090149879455566e-01,1.654989123344421387e-01,4.919152334332466125e-02
1.600000000000000033e-01,5.358482003211975098e-01,1.655365973711013794e-01,4.945559799671173096e-02
1.700000000000000122e-01,5.321952700614929199e-01,1.653963327407836914e-01,4.958555847406387329e-02
1.799999999999999933e-01,5.314716100692749023e-01,1.656068563461303711e-01,4.969879984855651855e-02
1.900000000000000022e-01,5.304589867591857910e-01,1.656328439712524414e-01,4.969286546111106873e-02
2.000000000000000111e-01,5.319092273712158203e-01,1.659922599792480469e-01,4.970708116888999939e-02
2.099999999999999922e-01,5.323218107223510742e-01,1.660136133432388306e-01,4.963473603129386902e-02
2.200000000000000011e-01,5.348965525627136230e-01,1.663422435522079468e-01,4.964450746774673462e-02
2.300000000000000100e-01,5.359895825386047363e-01,1.663389205932617188e-01,4.956258088350296021e-02
2.399999999999999911e-01,5.390599370002746582e-01,1.666860282421112061e-01,4.957933351397514343e-02
2.500000000000000000e-01,5.404397249221801758e-01,1.666845679283142090e-01,4.947641491889953613e-02
2.600000000000000089e-01,5.436669588088989258e-01,1.671110838651657104e-01,4.948518425226211548e-02
2.700000000000000178e-01,5.449364781379699707e-01,1.671462953090667725e-01,4.938245192170143127e-02
2.800000000000000266e-01,5.475003123283386230e-01,1.675291657447814941e-01,4.941948875784873962e-02
2.899999999999999800e-01,5.481585264205932617e-01,1.675042808055877686e-01,4.934165999293327332e-02
2.999999999999999889e-01,5.502565503120422363e-01,1.678953766822814941e-01,4.940830543637275696e-02
3.099999999999999978e-01,5.502554178237915039e-01,1.677809357643127441e-01,4.935111477971076965e-02
3.200000000000000067e-01,5.519722104072570801e-01,1.681962311267852783e-01,4.945385456085205078e-02
3.300000000000000155e-01,5.512011051177978516e-01,1.679965555667877197e-01,4.941976815462112427e-02
3.400000000000000244e-01,5.527541637420654297e-01,1.683985143899917603e-01,4.955386742949485779e-02
3.500000000000000333e-01,5.514829754829406738e-01,1.681176275014877319e-01,4.953047260642051697e-02
3.599999999999999867e-01,5.531448125839233398e-01,1.685262769460678101e-01,4.968772828578948975e-02
3.699999999999999956e-01,5.515801906585693359e-01,1.681973338127136230e-01,4.966975376009941101e-02
3.800000000000000044e-01,5.535595417022705078e-01,1.685704439878463745e-01,4.982323572039604187e-02
3.900000000000000133e-01,5.521150231361389160e-01,1.682338714599609375e-01,4.979907348752021790e-02
4.000000000000000222e-01,5.548765659332275391e-01,1.686610132455825806e-01,4.993290826678276062e-02
4.100000000000000311e-01,5.535967946052551270e-01,1.683157980442047119e-01,4.990252479910850525e-02
4.199999999999999845e-01,5.569826364517211914e-01,1.688335090875625610e-01,4.998317360877990723e-02
4.299999999999999933e-01,5.556309819221496582e-01,1.685289442539215088e-01,4.992527514696121216e-02
4.400000000000000022e-01,5.590096712112426758e-01,1.690921634435653687e-01,4.995257407426834106e-02
4.500000000000000111e-01,5.576009750366210938e-01,1.687678545713424683e-01,4.989884421229362488e-02
4.600000000000000200e-01,5.608344078063964844e-01,1.693113148212432861e-01,4.997441917657852173e-02
4.700000000000000289e-01,5.591272711753845215e-01,1.689909100532531738e-01,4.995450377464294434e-02
4.799999999999999822e-01,5.620706677436828613e-01,1.694530248641967773e-01,5.008308961987495422e-02
4.899999999999999911e-01,5.603868365287780762e-01,1.691403090953826904e-01,5.006248876452445984e-02
5.000000000000000000e-01,5.632670521736145020e-01,1.695665121078491211e-01,5.022472143173217773e-02
5.100000000000000089e-01,5.618585944175720215e-01,1.693501472473144531e-01,5.018476396799087524e-02
5.200000000000000178e-01,5.646582841873168945e-01,1.697803437709808350e-01,5.036105588078498840e-02
5.300000000000000266e-01,5.631064176559448242e-01,1.696889251470565796e-01,5.029794201254844666e-02
5.400000000000000355e-01,5.657980442047119141e-01,1.701060235500335693e-01,5.050393566489219666e-02
5.500000000000000444e-01,5.643538236618041992e-01,1.699933707714080811e-01,5.044951662421226501e-02
5.600000000000000533e-01,5.670542120933532715e-01,1.704703718423843384e-01,5.064791440963745117e-02
5.700000000000000622e-01,5.656336545944213867e-01,1.704023480415344238e-01,5.056253820657730103e-02
5.799999999999999600e-01,5.679941773414611816e-01,1.708507537841796875e-01,5.075370147824287415e-02
5.899999999999999689e-01,5.663084983825683594e-01,1.707755625247955322e-01,5.065454915165901184e-02
5.999999999999999778e-01,5.682855844497680664e-01,1.711936742067337036e-01,5.083345994353294373e-02
6.099999999999999867e-01,5.662977695465087891e-01,1.711147725582122803e-01,5.071576312184333801e-02
6.199999999999999956e-01,5.678198933601379395e-01,1.714873611927032471e-01,5.088127404451370239e-02
6.300000000000000044e-01,5.656336545944213867e-01,1.714233458042144775e-01,5.074950680136680603e-02
6.400000000000000133e-01,5.668690204620361328e-01,1.717678904533386230e-01,5.088728293776512146e-02
6.500000000000000222e-01,5.644927024841308594e-01,1.717159152030944824e-01,5.074259266257286072e-02
6.600000000000000311e-01,5.660215616226196289e-01,1.721210926771163940e-01,5.080878362059593201e-02
6.700000000000000400e-01,5.635230541229248047e-01,1.721107214689254761e-01,5.063196644186973572e-02
6.800000000000000488e-01,5.658608675003051758e-01,1.726972460746765137e-01,5.059790611267089844e-02
6.900000000000000577e-01,5.633988976478576660e-01,1.727355122566223145e-01,5.038148164749145508e-02
7.000000000000000666e-01,5.659942030906677246e-01,1.734012216329574585e-01,5.031019076704978943e-02
7.099999999999999645e-01,5.634643435478210449e-01,1.734386980533599854e-01,5.006406828761100769e-02
7.199999999999999734e-01,5.668243169784545898e-01,1.742545664310455322e-01,5.000576376914978027e-02
7.299999999999999822e-01,5.645328164100646973e-01,1.742917895317077637e-01,4.980583116412162781e-02
7.399999999999999911e-01,5.690312981605529785e-01,1.752412021160125732e-01,4.976265504956245422e-02
7.500000000000000000e-01,5.664620995521545410e-01,1.752776950597763062e-01,4.964316636323928833e-02
7.600000000000000089e-01,5.712488889694213867e-01,1.764122396707534790e-01,4.966843128204345703e-02
7.700000000000000178e-01,5.688950419425964355e-01,1.764679402112960815e-01,4.955747723579406738e-02
7.800000000000000266e-01,5.745204091072082520e-01,1.775909960269927979e-01,4.972448572516441345e-02
