step,vx_cmd,vy_cmd,vz_cmd,wz_cmd
0,-3.6083626747131357,10.0,2.1599754095077515,-3.0
1,-3.0397242307662964,10.0,2.793903708457946,-3.0
2,-1.9518953561782837,10.0,3.0,-3.0
3,0.27219295501708984,10.0,3.0,-3.0
4,1.218736171722412,10.0,3.0,-3.0
5,2.9740476608276367,10.0,3.0,-3.0
6,4.633121490478516,10.0,3.0,-3.0
7,5.672249794006348,10.0,2.9703898429870605,-3.0
8,6.624631881713867,10.0,2.6849995851516715,-3.0
9,7.502157688140869,10.0,2.3018925189971924,-3.0
10,7.008416652679443,10.0,1.8825573921203613,-3.0
11,5.511136054992676,10.0,1.3980767726898193,-3.0
12,4.855332374572754,10.0,1.0175707340240479,-3.0
13,5.005538463592529,10.0,0.7982100248336792,-3.0
14,5.513508319854736,10.0,0.5255348682403564,-3.0
15,6.242852210998535,10.0,0.23445475101470947,-3.0
16,7.090499401092529,10.0,0.033828020095825195,-3.0
17,8.072631359100344,10.0,-0.08747595548629794,-3.0
18,9.33082103729248,10.0,-0.16205066442489657,-3.0
19,10.0,10.0,-0.15578806400299072,-3.0
20,10.0,10.0,-0.152135968208313,-3.0
21,10.0,10.0,0.000813603401184082,-3.0
22,10.0,10.0,0.10763096809387207,-3.0
23,10.0,10.0,0.23952484130859375,-3.0
24,10.0,10.0,0.3938305377960205,-3.0
25,10.0,10.0,0.2956423759460449,-3.0
26,10.0,10.0,0.0755317211151123,-3.0
27,10.0,9.876338243484497,-0.3796640038490299,-3.0
28,10.0,9.044600725173952,-0.5926138758659363,-3.0
29,10.0,8.310505151748655,-0.7209758162498477,-3.0
30,10.0,7.582297325134277,-0.6965140700340271,-3.0
31,10.0,6.922096014022827,-0.6954211592674255,-3.0
32,10.0,5.802555084228516,-0.6719970703125,-3.0
33,10.0,5.094574689865112,-0.7554599046707153,-3.0
34,10.0,4.6807873249053955,-0.8931825757026672,-3.0
35,10.0,4.321503639221191,-0.9650625586509708,-3.0
36,10.0,4.2822277545928955,-0.899479329586029,-3.0
37,10.0,4.451092481613159,-0.7769715785980225,-3.0
38,10.0,4.459441900253296,-0.6880554556846619,-2.9180453270673756
39,10.0,4.3346381187438965,-0.5714036822319031,-2.8968292325735097
40,10.0,1.8230211734771729,3.0,-1.25211775302887
41,10.0,1.8611514568328857,3.0,-1.1259897351264954
42,10.0,1.8920135498046875,3.0,-1.0511173009872437
43,10.0,2.651907205581665,2.8431415557861337,-0.7999663352966309
44,10.0,3.644777536392212,1.838622808456421,-0.44560378789901767
