time,vx,vy,vz,psi_dot
0.000000000000000000e+00,7.717394828796386719e-01,-6.455984115600585938e+00,8.142924308776855469e-01,1.981534957885742188e-01
1.000000000000000021e-02,1.116847991943359375e+00,-6.968212127685546875e+00,7.651419639587402344e+00,-2.988219261169433594e-02
2.000000000000000042e-02,1.238121986389160156e+00,-7.113687992095947266e+00,1.164935302734375000e+01,-1.985347270965576172e-01
2.999999999999999889e-02,1.194739341735839844e+00,-6.997802257537841797e+00,1.363058567047119141e+01,-2.973999977111816406e-01
4.000000000000000083e-02,1.219458580017089844e+00,-6.863625049591064453e+00,1.466318130493164062e+01,-3.596744537353515625e-01
5.000000000000000278e-02,1.259737014770507812e+00,-6.749460697174072266e+00,1.512504577636718750e+01,-3.895599842071533203e-01
5.999999999999999778e-02,1.387119293212890625e+00,-6.680039405822753906e+00,1.521173954010009766e+01,-3.937423229217529297e-01
7.000000000000000666e-02,1.527802944183349609e+00,-6.514434814453125000e+00,1.498327445983886719e+01,-3.690087795257568359e-01
8.000000000000000167e-02,1.767005920410156250e+00,-6.460274696350097656e+00,1.444875717163085938e+01,-3.328216075897216797e-01
8.999999999999999667e-02,1.908884048461914062e+00,-6.338924407958984375e+00,1.354498863220214844e+01,-2.763583660125732422e-01
1.000000000000000056e-01,2.137417793273925781e+00,-6.321959495544433594e+00,1.218078613281250000e+01,-2.053709030151367188e-01
1.100000000000000006e-01,2.268373966217041016e+00,-5.936169624328613281e+00,1.006519508361816406e+01,-9.883093833923339844e-02
1.199999999999999956e-01,2.370727062225341797e+00,-5.821777343750000000e+00,7.270412445068359375e+00,9.328365325927734375e-03
1.300000000000000044e-01,2.267673015594482422e+00,-5.330035686492919922e+00,3.745582103729248047e+00,1.416249275207519531e-01
1.400000000000000133e-01,2.162485122680664062e+00,-5.227202415466308594e+00,4.674625396728515625e-01,2.258062362670898438e-01
1.499999999999999944e-01,1.897385120391845703e+00,-4.692584037780761719e+00,-2.626692056655883789e+00,3.094635009765625000e-01
1.600000000000000033e-01,1.777117252349853516e+00,-4.788312911987304688e+00,-4.639510154724121094e+00,3.344893455505371094e-01
1.700000000000000122e-01,1.543705463409423828e+00,-4.331902503967285156e+00,-5.969439506530761719e+00,3.526215553283691406e-01
1.799999999999999933e-01,1.584095954895019531e+00,-4.628775119781494141e+00,-6.397073268890380859e+00,3.316559791564941406e-01
1.900000000000000022e-01,1.571111679077148438e+00,-4.284025192260742188e+00,-6.626436710357666016e+00,3.259525299072265625e-01
2.000000000000000111e-01,1.813156604766845703e+00,-4.739938735961914062e+00,-6.229982376098632812e+00,2.848415374755859375e-01
2.099999999999999922e-01,1.935245990753173828e+00,-4.427678585052490234e+00,-5.853680610656738281e+00,2.629551887512207031e-01
2.200000000000000011e-01,2.282032966613769531e+00,-4.979052543640136719e+00,-4.866402149200439453e+00,1.967563629150390625e-01
2.300000000000000100e-01,2.420127391815185547e+00,-4.614172935485839844e+00,-4.065618515014648438e+00,1.555128097534179688e-01
2.399999999999999911e-01,2.777934074401855469e+00,-5.289097785949707031e+00,-2.784776687622070312e+00,8.040618896484375000e-02
2.500000000000000000e-01,2.835536003112792969e+00,-4.927809238433837891e+00,-1.956399679183959961e+00,4.348754882812500000e-02
2.600000000000000089e-01,3.145611286163330078e+00,-5.685622692108154297e+00,-7.508659362792968750e-01,-2.766036987304687500e-02
2.700000000000000178e-01,3.123798370361328125e+00,-5.299348831176757812e+00,-1.785528659820556641e-01,-5.460357666015625000e-02
2.800000000000000266e-01,3.430550098419189453e+00,-6.035661697387695312e+00,6.086444854736328125e-01,-1.060731410980224609e-01
2.899999999999999800e-01,3.295819759368896484e+00,-5.591430664062500000e+00,7.201218605041503906e-01,-1.140787601470947266e-01
2.999999999999999889e-01,3.549163341522216797e+00,-6.417387962341308594e+00,1.190805435180664062e+00,-1.527597904205322266e-01
3.099999999999999978e-01,3.330194950103759766e+00,-5.862371921539306641e+00,8.224487304687500000e-01,-1.434075832366943359e-01
3.200000000000000067e-01,3.643748760223388672e+00,-6.736446380615234375e+00,1.196060180664062500e+00,-1.728031635284423828e-01
