time,t1,t2,t3,t4
0.000000000000000000e+00,2.535342931747436523e+00,3.218900442123413086e+00,3.483045578002929688e+00,2.674049854278564453e+00
1.000000000000000021e-02,2.901832818984985352e+00,3.716765165328979492e+00,3.978129148483276367e+00,3.052238941192626953e+00
2.000000000000000042e-02,3.316524267196655273e+00,4.210018157958984375e+00,4.438436508178710938e+00,3.499016761779785156e+00
2.999999999999999889e-02,3.793669223785400391e+00,4.630350589752197266e+00,4.818165302276611328e+00,4.018507480621337891e+00
4.000000000000000083e-02,4.266556739807128906e+00,4.934161663055419922e+00,5.067062377929687500e+00,4.546310901641845703e+00
5.000000000000000278e-02,4.725552558898925781e+00,5.069901943206787109e+00,5.179155826568603516e+00,5.028700351715087891e+00
5.999999999999999778e-02,5.028172492980957031e+00,5.102594852447509766e+00,5.121226310729980469e+00,5.390484809875488281e+00
7.000000000000000666e-02,5.239422321319580078e+00,5.003844261169433594e+00,4.945714950561523438e+00,5.648630142211914062e+00
8.000000000000000167e-02,5.243302345275878906e+00,4.900671958923339844e+00,4.756512641906738281e+00,5.734092712402343750e+00
8.999999999999999667e-02,5.169068336486816406e+00,4.751830101013183594e+00,4.585760593414306641e+00,5.705131053924560547e+00
1.000000000000000056e-01,4.885112285614013672e+00,4.666280269622802734e+00,4.470422744750976562e+00,5.486164569854736328e+00
1.100000000000000006e-01,4.544127941131591797e+00,4.529233455657958984e+00,4.316707134246826172e+00,5.174742698669433594e+00
1.199999999999999956e-01,4.030895233154296875e+00,4.399696350097656250e+00,4.145740032196044922e+00,4.657124519348144531e+00
1.300000000000000044e-01,3.642974138259887695e+00,4.174166679382324219e+00,3.990494012832641602e+00,4.154129981994628906e+00
1.400000000000000133e-01,3.269744157791137695e+00,4.027689933776855469e+00,3.885892629623413086e+00,3.678079128265380859e+00
1.499999999999999944e-01,3.100862264633178711e+00,3.786959648132324219e+00,3.759207248687744141e+00,3.399619340896606445e+00
1.600000000000000033e-01,2.935776948928833008e+00,3.641389608383178711e+00,3.647493362426757812e+00,3.181839466094970703e+00
1.700000000000000122e-01,2.925084352493286133e+00,3.397740840911865234e+00,3.514922618865966797e+00,3.092131376266479492e+00
1.799999999999999933e-01,2.856234073638916016e+00,3.254224061965942383e+00,3.399524211883544922e+00,2.987444400787353516e+00
1.900000000000000022e-01,2.917843818664550781e+00,3.034011840820312500e+00,3.256211042404174805e+00,2.991494178771972656e+00
2.000000000000000111e-01,2.878448009490966797e+00,2.957150936126708984e+00,3.150835990905761719e+00,2.959678649902343750e+00
2.099999999999999922e-01,2.945976495742797852e+00,2.816052436828613281e+00,3.026461124420166016e+00,3.014837265014648438e+00
2.200000000000000011e-01,2.886074781417846680e+00,2.829280853271484375e+00,2.961965084075927734e+00,3.005038738250732422e+00
2.300000000000000100e-01,2.927696704864501953e+00,2.758404731750488281e+00,2.866710186004638672e+00,3.070380210876464844e+00
2.399999999999999911e-01,2.817067384719848633e+00,2.846718311309814453e+00,2.844890832901000977e+00,3.037114620208740234e+00
2.500000000000000000e-01,2.819728374481201172e+00,2.814296960830688477e+00,2.779756784439086914e+00,3.069546222686767578e+00
2.600000000000000089e-01,2.685704946517944336e+00,2.964243173599243164e+00,2.820633411407470703e+00,2.999578952789306641e+00
2.700000000000000178e-01,2.688684701919555664e+00,2.935285568237304688e+00,2.789910078048706055e+00,2.998938322067260742e+00
2.800000000000000266e-01,2.579583406448364258e+00,3.094017744064331055e+00,2.862952470779418945e+00,2.916425943374633789e+00
2.899999999999999800e-01,2.621321916580200195e+00,3.032554388046264648e+00,2.852477312088012695e+00,2.909400701522827148e+00
2.999999999999999889e-01,2.560052871704101562e+00,3.173102140426635742e+00,2.947261095046997070e+00,2.841292381286621094e+00
3.099999999999999978e-01,2.650492668151855469e+00,3.067820549011230469e+00,2.940559148788452148e+00,2.848597049713134766e+00
3.200000000000000067e-01,2.626233339309692383e+00,3.187637329101562500e+00,3.040270328521728516e+00,2.803868532180786133e+00
3.300000000000000155e-01,2.771883964538574219e+00,3.050680875778198242e+00,3.022919654846191406e+00,2.852342128753662109e+00
