alpha,H,reward
3e-05,800,0.2112582273967564
0.0003,800,6.3332240205258135
0.003,800,9.388307561576367
0.03,800,7.444825103878975
3e-05,400,2.099410042408854
0.0003,400,8.555561826862395
0.003,400,11.523621440976859
0.03,400,-0.6743203568458557
3e-05,200,10.581870052739978
0.0003,200,17.034695297181607
0.003,200,19.45468346759677
0.03,200,5.151670185551048
3e-05,100,14.345341908782721
0.0003,100,28.52467299938202
0.003,100,32.248202296495435
0.03,100,-0.6678894704580307
3e-05,50,8.020772266723215
0.0003,50,38.97184745311737
0.003,50,52.11725003004074
0.03,50,10.6610287845134735
3e-05,25,2.04295656938105821
0.0003,25,0.5486911424063146
0.003,25,1.3801667574699968
0.03,25,0.663049653172493
