lap,lap_time,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7
1,3.400,true,true,true,true,true,true,true,true
2,3.252,true,true,true,true,true,true,true,true
3,3.080,false,true,true,true,true,true,true,true
4,3.248,true,true,true,true,true,true,true,true
5,3.840,true,true,true,false,false,false,true,true
6,3.060,true,true,true,true,true,true,true,true
7,3.152,true,false,true,true,true,true,true,true
8,3.120,true,true,true,true,true,true,true,true
9,3.140,true,true,true,true,true,true,true,true
10,3.108,true,true,true,true,true,true,true,true
11,3.012,true,true,true,true,true,true,true,true
12,3.300,true,true,true,true,true,true,true,true
13,3.300,true,true,true,true,true,true,true,true
14,3.200,true,true,true,true,true,true,true,true
15,3.000,true,true,true,true,true,true,true,true
16,3.168,true,true,true,true,true,true,true,true
17,3.500,true,true,true,true,true,true,true,false
18,3.392,false,true,true,true,true,true,true,true
19,3.560,true,true,true,true,true,true,true,true
20,3.108,true,true,true,true,true,true,true,true
21,3.380,true,true,true,true,true,true,true,false
22,3.600,false,false,false,true,true,true,false,true
23,3.112,true,false,true,true,true,true,true,true
24,3.268,true,true,true,true,true,true,true,true
25,3.180,true,true,true,true,true,true,true,true
26,3.020,true,true,true,true,true,true,true,true
27,3.432,true,true,true,true,true,true,true,true
28,3.800,true,true,true,false,true,true,false,true
29,3.180,true,true,false,true,true,true,false,true
30,3.188,true,true,true,true,true,true,true,true
31,3.140,true,true,true,true,true,true,true,true
32,3.200,true,true,true,false,false,true,true,true
33,3.080,true,true,true,true,true,true,true,true
34,3.080,true,true,true,true,true,true,true,true
35,3.180,true,true,true,false,true,true,true,true
36,3.112,true,true,true,true,true,true,true,true
37,3.248,true,true,true,true,true,true,true,true
38,3.192,true,true,true,true,true,true,true,true
39,3.448,true,true,true,true,true,true,false,true
40,3.132,true,true,true,true,true,true,true,true
41,3.188,true,true,true,true,true,true,true,true
42,3.180,true,true,true,true,true,true,true,true
43,3.232,true,true,true,true,true,true,true,true
44,2.980,true,true,true,true,true,true,false,true
45,3.128,true,true,true,true,true,true,true,true
46,3.220,true,true,true,true,true,true,true,true
47,3.100,true,true,true,true,true,true,true,true
48,3.452,true,true,true,false,true,true,true,true
49,3.120,true,true,true,true,true,true,true,true
50,3.028,true,true,true,true,true,true,true,true
51,3.272,true,true,true,true,true,true,true,true
52,3.288,true,true,true,true,true,true,true,true
53,2.960,true,true,true,true,true,true,true,true
54,3.180,true,true,true,false,true,true,true,true
55,3.252,true,true,true,true,true,true,true,true
