lap,lap_time,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7
1,6.428,false,true,false,false,true,true,true,true
2,3.940,false,true,false,true,true,true,true,true
3,2.952,true,true,true,true,true,true,true,true
4,3.168,true,false,true,true,true,true,true,true
5,3.052,false,true,true,true,true,true,true,true
6,3.228,true,true,true,false,true,false,true,true
7,3.120,true,true,true,true,true,true,true,true
8,4.220,false,true,true,true,true,true,false,false
9,2.880,true,true,true,true,true,true,false,true
10,3.180,true,true,true,true,true,true,true,true
11,2.820,true,true,true,true,true,true,true,true
12,2.960,true,true,true,true,true,true,true,true
13,3.720,true,true,false,true,true,true,true,true
14,2.800,true,true,true,true,true,true,false,true
15,2.960,true,true,true,true,true,true,false,true
16,3.212,true,true,false,true,true,true,true,true
17,2.648,true,true,true,true,true,true,true,true
18,3.220,true,true,true,true,true,true,true,true
19,2.620,true,true,true,true,true,true,true,true
20,2.992,true,true,true,true,true,true,true,true
21,4.000,true,true,false,true,true,false,true,true
22,4.868,false,true,true,true,true,true,true,true
