Wall time,Step,Value
1777203379.9603095,819200,-13.383955001831055
1777203413.1622462,1638400,-10.840444564819336
1777203447.6011453,2457600,-12.482328414916992
1777203480.388879,3276800,-10.588052749633789
1777203516.9445064,4096000,-10.29623794555664
1777203548.641845,4915200,-9.515098571777344
1777203580.4144323,5734400,-9.29823112487793
1777203612.0970538,6553600,-9.099395751953125
1777203646.210918,7372800,-8.439786911010742
1777203680.8422594,8192000,-8.007696151733398
1777203715.2484055,9011200,-8.234128952026367
1777203749.1478329,9830400,-7.540743827819824
1777203783.8250926,10649600,-7.4581427574157715
1777203818.5177677,11468800,-7.033094882965088
1777203851.9349537,12288000,-6.909701347351074
1777203888.3979228,13107200,-6.533132553100586
1777203922.6676283,13926400,-6.11783504486084
1777203955.0704916,14745600,-5.503093719482422
1777203988.6925914,15564800,-5.219515800476074
1777204023.0987475,16384000,-5.040612697601318
1777204057.8467171,17203200,-4.92537784576416
1777204094.7271788,18022400,-5.016897201538086
1777204127.0367315,18841600,-4.9146623611450195
1777204163.6467454,19660800,-4.777090072631836
1777204204.7819796,20480000,-5.193515300750732
1777204243.3555467,21299200,-5.123017311096191
1777204281.9107747,22118400,-4.632928848266602
1777204318.0249054,22937600,-5.104350566864014
1777204354.5403059,23756800,-4.715279579162598
1777204388.6572218,24576000,-4.844839096069336
1777204423.9674735,25395200,-4.864170551300049
1777204462.7997086,26214400,-5.009035110473633
1777204499.3515835,27033600,-4.827301025390625
1777204539.7101433,27852800,-4.943867206573486
1777204577.1897466,28672000,-4.7794013023376465
1777204616.97283,29491200,-5.194108963012695
1777204654.3483646,30310400,-4.984107971191406
1777204689.0858912,31129600,-4.56540584564209
1777204727.9884312,31948800,-4.893879413604736
1777204767.1023724,32768000,-4.8640642166137695
1777204808.0049303,33587200,-4.758665561676025
1777204844.9888477,34406400,-4.693716049194336
1777204884.1955988,35225600,-4.913202285766602
1777204933.515963,36044800,-4.897834777832031
1777204976.6772265,36864000,-4.804765701293945
1777205017.1943562,37683200,-4.832603454589844
1777205055.2834563,38502400,-4.961368560791016
1777205093.938471,39321600,-4.675530433654785
1777205132.433636,40140800,-4.478042125701904
1777205169.4627388,40960000,-4.741342544555664
1777205211.756327,41779200,-4.803794860839844
1777205255.0102975,42598400,-4.712528228759766
1777205291.9364526,43417600,-4.8784332275390625
1777205333.872663,44236800,-4.918080806732178
1777205373.5995758,45056000,-4.438027381896973
1777205408.1380255,45875200,-4.8006062507629395
1777205449.7807503,46694400,-4.989437103271484
1777205482.4989982,47513600,-4.9101057052612305
1777205514.2769582,48332800,-4.675865173339844
1777205547.6964805,49152000,-4.679591178894043
1777205580.1243086,49971200,-4.817227363586426
1777205613.420599,50790400,-4.809509754180908
