Wall time,Step,Value
1777121905.3964903,819200,-60.43400955200195
1777121937.431295,1638400,-69.55201721191406
1777121969.6317966,2457600,-59.56797790527344
1777122001.0796676,3276800,-56.81964111328125
1777122032.4810677,4096000,-47.41448211669922
1777122063.6153605,4915200,-45.559608459472656
1777122094.6004515,5734400,-44.83527755737305
1777122128.3792021,6553600,-40.470176696777344
1777122162.4498289,7372800,-39.31940841674805
1777122195.9867115,8192000,-35.04096221923828
1777122228.5542188,9011200,-33.17139434814453
1777122259.63608,9830400,-32.479103088378906
1777122291.0716536,10649600,-30.559494018554688
1777122323.7028897,11468800,-28.7296142578125
1777122355.6516595,12288000,-27.03925895690918
1777122386.85315,13107200,-26.30967903137207
1777122418.6071315,13926400,-23.38983726501465
1777122450.8395782,14745600,-22.680805206298828
1777122483.46507,15564800,-17.885547637939453
1777122518.4735482,16384000,-19.259960174560547
1777122550.3492434,17203200,-19.53460121154785
1777122581.8637385,18022400,-17.309070587158203
1777122613.6850448,18841600,-15.989110946655273
1777122645.3810217,19660800,-14.010927200317383
1777122677.5974429,20480000,-13.766820907592773
1777122708.9926045,21299200,-13.55406379699707
1777122739.9350123,22118400,-14.156471252441406
1777122770.838148,22937600,-12.591720581054688
1777122802.4404411,23756800,-14.143792152404785
1777122833.5476227,24576000,-12.245199203491211
1777122868.4307034,25395200,-11.863838195800781
1777122900.5779626,26214400,-11.267704010009766
1777122933.2585144,27033600,-12.388551712036133
1777122965.1021338,27852800,-11.20435619354248
1777122995.9250178,28672000,-12.105009078979492
1777123029.36918,29491200,-11.699837684631348
1777123063.938799,30310400,-11.15693473815918
1777123095.8631804,31129600,-11.535778999328613
1777123127.5557277,31948800,-10.654031753540039
1777123159.411743,32768000,-11.455687522888184
1777123190.515187,33587200,-11.335254669189453
1777123227.285643,34406400,-9.684087753295898
1777123258.2791064,35225600,-10.97134780883789
1777123291.3870802,36044800,-10.672123908996582
1777123322.7297268,36864000,-10.114490509033203
1777123353.7628613,37683200,-9.279757499694824
1777123386.088047,38502400,-10.087972640991211
1777123417.756871,39321600,-10.35197639465332
1777123448.953115,40140800,-10.28902530670166
1777123479.877984,40960000,-10.910306930541992
1777123510.6937847,41779200,-9.646055221557617
1777123541.593352,42598400,-10.175674438476562
1777123576.7686784,43417600,-10.216495513916016
1777123609.464532,44236800,-9.367393493652344
1777123641.7294962,45056000,-9.977675437927246
1777123672.9268336,45875200,-10.257917404174805
1777123704.079561,46694400,-9.741206169128418
1777123740.6479266,47513600,-9.230321884155273
1777123772.2038007,48332800,-9.731690406799316
1777123803.5693374,49152000,-10.240036010742188
1777123838.0316613,49971200,-9.513407707214355
1777123870.8351824,50790400,-10.367794036865234
1777123903.1761258,51609600,-9.484308242797852
1777123940.6637485,52428800,-10.041238784790039
1777123972.4549608,53248000,-9.619043350219727
1777124003.9334812,54067200,-9.214706420898438
1777124035.647784,54886400,-9.968597412109375
1777124067.0834649,55705600,-10.183597564697266
1777124100.1657593,56524800,-9.689916610717773
1777124131.5656846,57344000,-9.761226654052734
1777124164.1716964,58163200,-9.347630500793457
1777124195.6018105,58982400,-9.728878021240234
1777124228.4096608,59801600,-10.065792083740234
1777124260.7429373,60620800,-10.384530067443848
1777124296.5864277,61440000,-10.352398872375488
1777124329.576201,62259200,-9.989006042480469
1777124362.7211204,63078400,-9.62714672088623
1777124394.2902877,63897600,-9.196733474731445
1777124426.1836538,64716800,-10.436125755310059
1777124457.3506925,65536000,-9.512280464172363
1777124489.2000074,66355200,-10.054756164550781
1777124520.6967757,67174400,-10.373039245605469
1777124551.8101428,67993600,-9.469108581542969
1777124582.2593892,68812800,-9.382246971130371
1777124613.1167822,69632000,-9.593660354614258
1777124644.3154695,70451200,-9.274069786071777
1777124677.4412222,71270400,-9.51217269897461
1777124708.7953093,72089600,-9.502161026000977
1777124740.709482,72908800,-8.817160606384277
1777124772.5814288,73728000,-9.851680755615234
1777124803.7573361,74547200,-9.050086975097656
1777124835.6890335,75366400,-9.501482009887695
1777124867.6599605,76185600,-9.402847290039062
1777124900.608737,77004800,-9.578187942504883
1777124932.6994197,77824000,-9.868568420410156
1777124964.2694135,78643200,-8.856176376342773
1777124996.8967588,79462400,-9.042749404907227
1777125033.6284816,80281600,-10.116025924682617
1777125066.9365122,81100800,-9.898189544677734
1777125098.8009508,81920000,-9.374473571777344
1777125131.687268,82739200,-9.474955558776855
1777125163.9334037,83558400,-9.237797737121582
1777125196.625732,84377600,-9.477113723754883
1777125228.1868553,85196800,-9.146323204040527
1777125259.616312,86016000,-9.3795166015625
1777125290.2826648,86835200,-9.445379257202148
1777125322.5108204,87654400,-9.39470386505127
1777125353.4684088,88473600,-10.822750091552734
1777125390.4094992,89292800,-9.166638374328613
1777125421.7184253,90112000,-9.2623872756958
1777125454.7880986,90931200,-9.616872787475586
1777125485.8411124,91750400,-9.279637336730957
1777125517.456862,92569600,-9.185707092285156
1777125548.5242763,93388800,-10.14490795135498
1777125583.654301,94208000,-9.70461368560791
1777125615.7269943,95027200,-9.839763641357422
1777125647.11475,95846400,-9.689927101135254
1777125678.3634849,96665600,-8.767990112304688
1777125709.2197607,97484800,-9.044297218322754
1777125747.2817378,98304000,-10.12076473236084
1777125779.2447596,99123200,-9.52856159210205
1777125812.8280568,99942400,-9.015960693359375
1777125844.065391,100761600,-9.468204498291016
