Wall time,Step,Value
1777146695.731652,819200,-12.414820671081543
1777146727.4083529,1638400,-10.628426551818848
1777146758.7435992,2457600,-11.348210334777832
1777146791.073498,3276800,-10.669278144836426
1777146825.741855,4096000,-9.733970642089844
1777146861.964268,4915200,-9.56847858428955
1777146902.062855,5734400,-8.855962753295898
1777146936.9603677,6553600,-9.039970397949219
1777146975.452227,7372800,-8.337713241577148
1777147009.4663386,8192000,-7.9978742599487305
1777147043.3356,9011200,-7.9600830078125
1777147078.2764826,9830400,-7.802163600921631
1777147112.9457731,10649600,-7.524431228637695
1777147144.9301832,11468800,-7.79046106338501
1777147179.7108324,12288000,-7.50654411315918
1777147219.4019048,13107200,-7.214520454406738
1777147252.6750467,13926400,-7.274442195892334
1777147286.2553074,14745600,-6.775473117828369
1777147324.4376132,15564800,-6.972720146179199
1777147360.5100682,16384000,-6.754347324371338
1777147395.4041133,17203200,-6.72812557220459
1777147429.0350225,18022400,-6.418159008026123
1777147464.7173717,18841600,-6.540576934814453
1777147498.1883292,19660800,-6.50966739654541
1777147533.962337,20480000,-6.130347728729248
1777147566.5290132,21299200,-6.01791524887085
1777147600.9116557,22118400,-5.983151912689209
1777147634.364897,22937600,-5.780946731567383
1777147667.7252574,23756800,-5.480224609375
1777147705.0745876,24576000,-5.457557678222656
1777147738.3633153,25395200,-5.592896461486816
1777147772.9548666,26214400,-6.041986465454102
1777147805.6112013,27033600,-5.671833515167236
1777147838.4564004,27852800,-5.907820701599121
1777147873.8373613,28672000,-5.615802764892578
1777147905.84982,29491200,-5.6414079666137695
1777147939.379232,30310400,-5.628321647644043
1777147973.2485175,31129600,-5.468108654022217
1777148006.2378929,31948800,-5.694352149963379
1777148042.141463,32768000,-5.406125068664551
1777148077.5963075,33587200,-5.2907304763793945
1777148112.1320975,34406400,-5.529166221618652
1777148146.081997,35225600,-5.395469665527344
1777148182.342093,36044800,-5.1387739181518555
1777148214.7604406,36864000,-5.509951591491699
1777148249.278122,37683200,-5.586097717285156
1777148283.4834166,38502400,-5.4599504470825195
1777148316.6147041,39321600,-5.385251998901367
1777148351.0131562,40140800,-5.504083633422852
1777148387.7974157,40960000,-5.512131690979004
1777148425.7232745,41779200,-5.357855796813965
1777148457.4189606,42598400,-5.389745712280273
1777148494.8044071,43417600,-5.202908515930176
1777148530.3739758,44236800,-5.1735639572143555
1777148563.9225347,45056000,-5.447751045227051
1777148598.5180006,45875200,-5.348022937774658
1777148631.9585018,46694400,-5.531466484069824
1777148668.1841037,47513600,-5.420958995819092
1777148703.7686222,48332800,-5.394486427307129
1777148737.3767755,49152000,-5.522491455078125
1777148776.341634,49971200,-5.338027477264404
1777148814.9673305,50790400,-5.490486145019531
