x,y,value
-3.000000,-3.000000,-46.500824
-2.923729,-3.000000,-45.674194
-2.847458,-3.000000,-44.968449
-2.771186,-3.000000,-44.463825
-2.694915,-3.000000,-44.298733
-2.618644,-3.000000,-44.317326
-2.542373,-3.000000,-44.309666
-2.466102,-3.000000,-44.302010
-2.389831,-3.000000,-44.294331
-2.313559,-3.000000,-44.286674
-2.237288,-3.000000,-44.205345
-2.161017,-3.000000,-44.120838
-2.084746,-3.000000,-44.036350
-2.008475,-3.000000,-43.951801
-1.932203,-3.000000,-43.867313
-1.855932,-3.000000,-43.782787
-1.779661,-3.000000,-43.698288
-1.703390,-3.000000,-42.946110
-1.627119,-3.000000,-41.925030
-1.550848,-3.000000,-40.903881
-1.474576,-3.000000,-39.882774
-1.398305,-3.000000,-38.861645
-1.322034,-3.000000,-37.840576
-1.245763,-3.000000,-37.019958
-1.169492,-3.000000,-36.282063
-1.093220,-3.000000,-35.544243
-1.016949,-3.000000,-34.710629
-0.940678,-3.000000,-34.896717
-0.864407,-3.000000,-35.528206
-0.788136,-3.000000,-36.179260
-0.711864,-3.000000,-36.830292
-0.635593,-3.000000,-37.481369
-0.559322,-3.000000,-38.160423
-0.483051,-3.000000,-38.983715
-0.406780,-3.000000,-39.807011
-0.330508,-3.000000,-40.630325
-0.254237,-3.000000,-41.395706
-0.177966,-3.000000,-42.059799
-0.101695,-3.000000,-42.723858
-0.025424,-3.000000,-43.279095
0.050847,-3.000000,-43.415085
0.127119,-3.000000,-43.551006
0.203390,-3.000000,-43.389877
0.279661,-3.000000,-43.206997
0.355932,-3.000000,-42.989483
0.432203,-3.000000,-42.769917
0.508474,-3.000000,-42.550331
0.584746,-3.000000,-42.330750
0.661017,-3.000000,-42.111191
0.737288,-3.000000,-42.000309
0.813559,-3.000000,-41.999454
0.889830,-3.000000,-43.025154
0.966102,-3.000000,-43.816299
1.042373,-3.000000,-44.339882
1.118644,-3.000000,-44.811600
1.194915,-3.000000,-45.212391
1.271186,-3.000000,-45.689846
1.347457,-3.000000,-46.873119
1.423728,-3.000000,-48.773823
1.500000,-3.000000,-50.570454
-3.000000,-2.923729,-42.233486
-2.923729,-2.923729,-41.426189
-2.847458,-2.923729,-40.810482
-2.771186,-2.923729,-40.299786
-2.694915,-2.923729,-40.112148
-2.618644,-2.923729,-40.146908
-2.542373,-2.923729,-40.139244
-2.466102,-2.923729,-40.131565
-2.389831,-2.923729,-40.050045
-2.313559,-2.923729,-39.965523
-2.237288,-2.923729,-39.881050
-2.161017,-2.923729,-39.796490
-2.084746,-2.923729,-39.712009
-2.008475,-2.923729,-39.627476
-1.932203,-2.923729,-39.542946
-1.855932,-2.923729,-39.458473
-1.779661,-2.923729,-39.346233
-1.703390,-2.923729,-38.940926
-1.627119,-2.923729,-37.919804
-1.550848,-2.923729,-36.898682
-1.474576,-2.923729,-35.877537
-1.398305,-2.923729,-34.856438
-1.322034,-2.923729,-33.835327
-1.245763,-2.923729,-32.907925
-1.169492,-2.923729,-32.310345
-1.093220,-2.923729,-31.611515
-1.016949,-2.923729,-30.777393
-0.940678,-2.923729,-30.330128
-0.864407,-2.923729,-30.988335
-0.788136,-2.923729,-31.639393
-0.711864,-2.923729,-32.290447
-0.635593,-2.923729,-32.941479
-0.559322,-2.923729,-33.630939
-0.483051,-2.923729,-34.454227
-0.406780,-2.923729,-35.277557
-0.330508,-2.923729,-36.100857
-0.254237,-2.923729,-36.924141
-0.177966,-2.923729,-37.580704
-0.101695,-2.923729,-38.208080
-0.025424,-2.923729,-38.835491
0.050847,-2.923729,-38.938496
0.127119,-2.923729,-39.037777
0.203390,-2.923729,-38.944805
0.279661,-2.923729,-38.725204
0.355932,-2.923729,-38.505611
0.432203,-2.923729,-38.286045
0.508474,-2.923729,-38.066471
0.584746,-2.923729,-38.036366
0.661017,-2.923729,-37.988865
0.737288,-2.923729,-37.936356
0.813559,-2.923729,-38.962040
0.889830,-2.923729,-39.569752
0.966102,-2.923729,-40.104942
1.042373,-2.923729,-40.621868
1.118644,-2.923729,-41.035496
1.194915,-2.923729,-41.436291
1.271186,-2.923729,-41.994465
1.347457,-2.923729,-43.904453
1.423728,-2.923729,-45.814442
1.500000,-2.923729,-47.724438
-3.000000,-2.847458,-37.993134
-2.923729,-2.847458,-37.185841
-2.847458,-2.847458,-36.652557
-2.771186,-2.847458,-36.141819
-2.694915,-2.847458,-35.925835
-2.618644,-2.847458,-35.976467
-2.542373,-2.847458,-35.894733
-2.466102,-2.847458,-35.810223
-2.389831,-2.847458,-35.725739
-2.313559,-2.847458,-35.641224
-2.237288,-2.847458,-35.556717
-2.161017,-2.847458,-35.472195
-2.084746,-2.847458,-35.387661
-2.008475,-2.847458,-35.303143
-1.932203,-2.847458,-35.218655
-1.855932,-2.847458,-35.134125
-1.779661,-2.847458,-34.986774
-1.703390,-2.847458,-34.755131
-1.627119,-2.847458,-33.914577
-1.550848,-2.847458,-32.893459
-1.474576,-2.847458,-31.872379
-1.398305,-2.847458,-30.851261
-1.322034,-2.847458,-29.830135
-1.245763,-2.847458,-28.804310
-1.169492,-2.847458,-28.065399
-1.093220,-2.847458,-27.365688
-1.016949,-2.847458,-26.666016
-0.940678,-2.847458,-25.982353
-0.864407,-2.847458,-26.448479
-0.788136,-2.847458,-27.099499
-0.711864,-2.847458,-27.750557
-0.635593,-2.847458,-28.384537
-0.559322,-2.847458,-29.047749
-0.483051,-2.847458,-29.834366
-0.406780,-2.847458,-30.621025
-0.330508,-2.847458,-31.407619
-0.254237,-2.847458,-32.194252
-0.177966,-2.847458,-32.879520
-0.101695,-2.847458,-33.506908
-0.025424,-2.847458,-34.134323
0.050847,-2.847458,-34.349773
0.127119,-2.847458,-34.449070
0.203390,-2.847458,-34.460934
0.279661,-2.847458,-34.241344
0.355932,-2.847458,-34.045280
0.432203,-2.847458,-34.027317
0.508474,-2.847458,-34.009373
0.584746,-2.847458,-33.977501
0.661017,-2.847458,-33.903217
0.737288,-2.847458,-34.893604
0.813559,-2.847458,-35.323204
0.889830,-2.847458,-35.861523
0.966102,-2.847458,-36.386940
1.042373,-2.847458,-36.858654
1.118644,-2.847458,-37.259418
1.194915,-2.847458,-37.680485
1.271186,-2.847458,-39.025829
1.347457,-2.847458,-40.935810
1.423728,-2.847458,-42.845791
1.500000,-2.847458,-44.755802
-3.000000,-2.771186,-33.917721
-2.923729,-2.771186,-33.121792
-2.847458,-2.771186,-32.562653
-2.771186,-2.771186,-32.003502
-2.694915,-2.771186,-31.672928
-2.618644,-2.771186,-31.644745
-2.542373,-2.771186,-31.570457
-2.466102,-2.771186,-31.485916
-2.389831,-2.771186,-31.401402
-2.313559,-2.771186,-31.316883
-2.237288,-2.771186,-31.232357
-2.161017,-2.771186,-31.147846
-2.084746,-2.771186,-31.063324
-2.008475,-2.771186,-30.978813
-1.932203,-2.771186,-30.894279
-1.855932,-2.771186,-30.809795
-1.779661,-2.771186,-30.625912
-1.703390,-2.771186,-30.394272
-1.627119,-2.771186,-29.909363
-1.550848,-2.771186,-28.888287
-1.474576,-2.771186,-27.867161
-1.398305,-2.771186,-26.846050
-1.322034,-2.771186,-25.814613
-1.245763,-2.771186,-24.691402
-1.169492,-2.771186,-23.819584
-1.093220,-2.771186,-23.093323
-1.016949,-2.771186,-22.357098
-0.940678,-2.771186,-21.657005
-0.864407,-2.771186,-21.564507
-0.788136,-2.771186,-22.317608
-0.711864,-2.771186,-23.000675
-0.635593,-2.771186,-23.615032
-0.559322,-2.771186,-24.288677
-0.483051,-2.771186,-25.075310
-0.406780,-2.771186,-25.861931
-0.330508,-2.771186,-26.648556
-0.254237,-2.771186,-27.435173
-0.177966,-2.771186,-28.178303
-0.101695,-2.771186,-28.805737
-0.025424,-2.771186,-29.433086
0.050847,-2.771186,-29.761097
0.127119,-2.771186,-29.860394
0.203390,-2.771186,-30.022758
0.279661,-2.771186,-30.018261
0.355932,-2.771186,-30.000294
0.432203,-2.771186,-29.982349
0.508474,-2.771186,-29.964367
0.584746,-2.771186,-29.891788
0.661017,-2.771186,-30.674007
0.737288,-2.771186,-31.084888
0.813559,-2.771186,-31.614960
0.889830,-2.771186,-32.151997
0.966102,-2.771186,-32.668941
1.042373,-2.771186,-33.082581
1.118644,-2.771186,-33.483341
1.194915,-2.771186,-34.147152
1.271186,-2.771186,-36.057133
1.347457,-2.771186,-37.967136
1.423728,-2.771186,-39.877140
1.500000,-2.771186,-41.787128
-3.000000,-2.694915,-30.193115
-2.923729,-2.694915,-29.140865
-2.847458,-2.694915,-28.505627
-2.771186,-2.694915,-27.869938
-2.694915,-2.694915,-27.487560
-2.618644,-2.694915,-27.404648
-2.542373,-2.694915,-27.292480
-2.466102,-2.694915,-27.161579
-2.389831,-2.694915,-27.077084
-2.313559,-2.694915,-26.992569
-2.237288,-2.694915,-26.908039
-2.161017,-2.694915,-26.823524
-2.084746,-2.694915,-26.739010
-2.008475,-2.694915,-26.654507
-1.932203,-2.694915,-26.569984
-1.855932,-2.694915,-26.481815
-1.779661,-2.694915,-26.265099
-1.703390,-2.694915,-26.033466
-1.627119,-2.694915,-25.801807
-1.550848,-2.694915,-24.846951
-1.474576,-2.694915,-23.789318
-1.398305,-2.694915,-22.715820
-1.322034,-2.694915,-21.556065
-1.245763,-2.694915,-20.396332
-1.169492,-2.694915,-19.355061
-1.093220,-2.694915,-18.618885
-1.016949,-2.694915,-17.884506
-0.940678,-2.694915,-17.202667
-0.864407,-2.694915,-16.520805
-0.788136,-2.694915,-17.240551
-0.711864,-2.694915,-17.992996
-0.635593,-2.694915,-18.745438
-0.559322,-2.694915,-19.529640
-0.483051,-2.694915,-20.316257
-0.406780,-2.694915,-21.102852
-0.330508,-2.694915,-21.889484
-0.254237,-2.694915,-22.676125
-0.177966,-2.694915,-23.462742
-0.101695,-2.694915,-24.106915
-0.025424,-2.694915,-24.866810
0.050847,-2.694915,-25.438789
0.127119,-2.694915,-25.667713
0.203390,-2.694915,-25.896648
0.279661,-2.694915,-25.973301
0.355932,-2.694915,-25.955368
0.432203,-2.694915,-25.937370
0.508474,-2.694915,-25.880405
0.584746,-2.694915,-26.454380
0.661017,-2.694915,-26.865295
0.737288,-2.694915,-27.368401
0.813559,-2.694915,-27.906746
0.889830,-2.694915,-28.434040
0.966102,-2.694915,-28.905697
1.042373,-2.694915,-29.306492
1.118644,-2.694915,-29.707268
1.194915,-2.694915,-31.178505
1.271186,-2.694915,-33.088490
1.347457,-2.694915,-34.998482
1.423728,-2.694915,-36.908474
1.500000,-2.694915,-39.101585
-3.000000,-2.618644,-27.031017
-2.923729,-2.618644,-25.472775
-2.847458,-2.618644,-24.369862
-2.771186,-2.618644,-23.734203
-2.694915,-2.618644,-23.331661
-2.618644,-2.618644,-23.248684
-2.542373,-2.618644,-23.137321
-2.466102,-2.618644,-23.005459
-2.389831,-2.618644,-22.873623
-2.313559,-2.618644,-22.741749
-2.237288,-2.618644,-22.609879
-2.161017,-2.618644,-22.499161
-2.084746,-2.618644,-22.406521
-2.008475,-2.618644,-22.289463
-1.932203,-2.618644,-22.172455
-1.855932,-2.618644,-22.017208
-1.779661,-2.618644,-21.749043
-1.703390,-2.618644,-21.480862
-1.627119,-2.618644,-21.212734
-1.550848,-2.618644,-20.613098
-1.474576,-2.618644,-19.534004
-1.398305,-2.618644,-18.374264
-1.322034,-2.618644,-17.214531
-1.245763,-2.618644,-16.054745
-1.169492,-2.618644,-14.895008
-1.093220,-2.618644,-14.144413
-1.016949,-2.618644,-13.430157
-0.940678,-2.618644,-12.748299
-0.864407,-2.618644,-12.066452
-0.788136,-2.618644,-12.163509
-0.711864,-2.618644,-12.915943
-0.635593,-2.618644,-13.668396
-0.559322,-2.618644,-14.500965
-0.483051,-2.618644,-15.425640
-0.406780,-2.618644,-16.343822
-0.330508,-2.618644,-17.169430
-0.254237,-2.618644,-18.099899
-0.177966,-2.618644,-19.030396
-0.101695,-2.618644,-19.867664
-0.025424,-2.618644,-20.627552
0.050847,-2.618644,-21.312630
0.127119,-2.618644,-21.541569
0.203390,-2.618644,-21.770508
0.279661,-2.618644,-21.928322
0.355932,-2.618644,-21.910366
0.432203,-2.618644,-21.869015
0.508474,-2.618644,-22.234772
0.584746,-2.618644,-22.645687
0.661017,-2.618644,-23.121838
0.737288,-2.618644,-23.660175
0.813559,-2.618644,-24.198517
0.889830,-2.618644,-24.716022
0.966102,-2.618644,-25.129604
1.042373,-2.618644,-25.530396
1.118644,-2.618644,-26.299824
1.194915,-2.618644,-28.209827
1.271186,-2.618644,-30.119827
1.347457,-2.618644,-32.029816
1.423728,-2.618644,-34.210789
1.500000,-2.618644,-36.490276
-3.000000,-2.542373,-23.792362
-2.923729,-2.542373,-22.174831
-2.847458,-2.542373,-20.879215
-2.771186,-2.542373,-19.598431
-2.694915,-2.542373,-19.175705
-2.618644,-2.542373,-19.092762
-2.542373,-2.542373,-18.970070
-2.466102,-2.542373,-18.793045
-2.389831,-2.542373,-18.623329
-2.313559,-2.542373,-18.453575
-2.237288,-2.542373,-18.283829
-2.161017,-2.542373,-18.114109
-2.084746,-2.542373,-17.944347
-2.008475,-2.542373,-17.774605
-1.932203,-2.542373,-17.640709
-1.855932,-2.542373,-17.427715
-1.779661,-2.542373,-17.159580
-1.703390,-2.542373,-16.891411
-1.627119,-2.542373,-16.623253
-1.550848,-2.542373,-16.328056
-1.474576,-2.542373,-15.192474
-1.398305,-2.542373,-14.032726
-1.322034,-2.542373,-12.872959
-1.245763,-2.542373,-11.713219
-1.169492,-2.542373,-10.553474
-1.093220,-2.542373,-9.669987
-1.016949,-2.542373,-8.975796
-0.940678,-2.542373,-8.293957
-0.864407,-2.542373,-7.612110
-0.788136,-2.542373,-7.077164
-0.711864,-2.542373,-7.838886
-0.635593,-2.542373,-8.606190
-0.559322,-2.542373,-9.589745
-0.483051,-2.542373,-10.636734
-0.406780,-2.542373,-11.683704
-0.330508,-2.542373,-12.730679
-0.254237,-2.542373,-13.777645
-0.177966,-2.542373,-14.729145
-0.101695,-2.542373,-15.628426
-0.025424,-2.542373,-16.388290
0.050847,-2.542373,-17.148167
0.127119,-2.542373,-17.415459
0.203390,-2.542373,-17.644356
0.279661,-2.542373,-17.873302
0.355932,-2.542373,-17.841125
0.432203,-2.542373,-18.015179
0.508474,-2.542373,-18.426083
0.584746,-2.542373,-18.875256
0.661017,-2.542373,-19.413616
0.737288,-2.542373,-19.951950
0.813559,-2.542373,-20.481075
0.889830,-2.542373,-20.952747
0.966102,-2.542373,-21.353531
1.042373,-2.542373,-21.754318
1.118644,-2.542373,-23.331169
1.194915,-2.542373,-25.237125
1.271186,-2.542373,-27.131779
1.347457,-2.542373,-29.290085
1.423728,-2.542373,-31.569557
1.500000,-2.542373,-33.849110
-3.000000,-2.466102,-20.694324
-2.923729,-2.466102,-19.047050
-2.847458,-2.466102,-17.790047
-2.771186,-2.466102,-16.532974
-2.694915,-2.466102,-15.435902
-2.618644,-2.466102,-15.088676
-2.542373,-2.466102,-14.868534
-2.466102,-2.466102,-14.605015
-2.389831,-2.466102,-14.352242
-2.313559,-2.466102,-14.101967
-2.237288,-2.466102,-13.891518
-2.161017,-2.466102,-13.721752
-2.084746,-2.466102,-13.552021
-2.008475,-2.466102,-13.382313
-1.932203,-2.466102,-13.201683
-1.855932,-2.466102,-12.886639
-1.779661,-2.466102,-12.570091
-1.703390,-2.466102,-12.301929
-1.627119,-2.466102,-12.001152
-1.550848,-2.466102,-11.630848
-1.474576,-2.466102,-10.850937
-1.398305,-2.466102,-9.691200
-1.322034,-2.466102,-8.531422
-1.245763,-2.466102,-7.371662
-1.169492,-2.466102,-6.211887
-1.093220,-2.466102,-5.203304
-1.016949,-2.466102,-4.521465
-0.940678,-2.466102,-3.839611
-0.864407,-2.466102,-3.157730
-0.788136,-2.466102,-2.654877
-0.711864,-2.466102,-3.124176
-0.635593,-2.466102,-4.037342
-0.559322,-2.466102,-5.028957
-0.483051,-2.466102,-6.075909
-0.406780,-2.466102,-7.122932
-0.330508,-2.466102,-8.169891
-0.254237,-2.466102,-9.216873
-0.177966,-2.466102,-10.263882
-0.101695,-2.466102,-11.310841
-0.025424,-2.466102,-12.149052
0.050847,-2.466102,-12.908909
0.127119,-2.466102,-13.289318
0.203390,-2.466102,-13.518246
0.279661,-2.466102,-13.520767
0.355932,-2.466102,-13.795586
0.432203,-2.466102,-14.206482
0.508474,-2.466102,-14.628700
0.584746,-2.466102,-15.167030
0.661017,-2.466102,-15.705391
0.737288,-2.466102,-16.243748
0.813559,-2.466102,-16.763092
0.889830,-2.466102,-17.176670
0.966102,-2.466102,-17.577446
1.042373,-2.466102,-18.464504
1.118644,-2.466102,-20.327354
1.194915,-2.466102,-22.222027
1.271186,-2.466102,-24.369377
1.347457,-2.466102,-26.648869
1.423728,-2.466102,-28.928368
1.500000,-2.466102,-31.207882
-3.000000,-2.389831,-17.765488
-2.923729,-2.389831,-16.111885
-2.847458,-2.389831,-14.728710
-2.771186,-2.389831,-13.471672
-2.694915,-2.389831,-12.357841
-2.618644,-2.389831,-11.559341
-2.542373,-2.389831,-11.030270
-2.466102,-2.389831,-10.766773
-2.389831,-2.389831,-10.506752
-2.313559,-2.389831,-10.256474
-2.237288,-2.389831,-10.006214
-2.161017,-2.389831,-9.755939
-2.084746,-2.389831,-9.505653
-2.008475,-2.389831,-9.255856
-1.932203,-2.389831,-8.958263
-1.855932,-2.389831,-8.577255
-1.779661,-2.389831,-8.196266
-1.703390,-2.389831,-7.777004
-1.627119,-2.389831,-7.357361
-1.550848,-2.389831,-6.949768
-1.474576,-2.389831,-6.509373
-1.398305,-2.389831,-5.349621
-1.322034,-2.389831,-4.189880
-1.245763,-2.389831,-3.030102
-1.169492,-2.389831,-1.870358
-1.093220,-2.389831,-0.748993
-1.016949,-2.389831,-0.067112
-0.940678,-2.389831,0.423908
-0.864407,-2.389831,0.871383
-0.788136,-2.389831,1.318809
-0.711864,-2.389831,1.444675
